time_seconds,current_time,x,y
36.922688,2024-05-27T21:24:42.882Z,1016,386
36.939343,2024-05-27T21:24:42.882Z,1012,382
36.955998,2024-05-27T21:24:42.882Z,980,423
36.972652,2024-05-27T21:24:42.882Z,979,416
36.989308,2024-05-27T21:24:42.882Z,980,416
37.005963,2024-05-27T21:24:43.882Z,986,416
37.022617,2024-05-27T21:24:43.882Z,1019,375
37.039272,2024-05-27T21:24:43.882Z,1020,380
37.055927,2024-05-27T21:24:43.882Z,987,420
37.072582,2024-05-27T21:24:43.882Z,981,415
37.089237,2024-05-27T21:24:43.882Z,1018,373
37.105892,2024-05-27T21:24:43.882Z,1017,382
37.122547,2024-05-27T21:24:43.882Z,979,427
37.139201,2024-05-27T21:24:43.882Z,983,420
37.155856,2024-05-27T21:24:43.882Z,1016,378
37.172511,2024-05-27T21:24:43.882Z,1016,377
37.189165,2024-05-27T21:24:43.882Z,1015,380
37.205821,2024-05-27T21:24:43.882Z,1001,389
37.222476,2024-05-27T21:24:43.882Z,852,556
37.23913,2024-05-27T21:24:43.882Z,810,624
37.255785,2024-05-27T21:24:43.882Z,741,781
37.27244,2024-05-27T21:24:43.882Z,736,799
37.289095,2024-05-27T21:24:43.882Z,733,794
37.30575,2024-05-27T21:24:43.882Z,734,791
37.322405,2024-05-27T21:24:43.882Z,735,793
37.339059,2024-05-27T21:24:43.882Z,736,798
37.355714,2024-05-27T21:24:43.882Z,738,801
37.372369,2024-05-27T21:24:43.882Z,742,804
37.389024,2024-05-27T21:24:43.882Z,742,799
37.405678,2024-05-27T21:24:43.882Z,739,799
37.422333,2024-05-27T21:24:43.882Z,738,799
37.438988,2024-05-27T21:24:43.882Z,741,799
37.455643,2024-05-27T21:24:43.882Z,741,803
37.472298,2024-05-27T21:24:43.882Z,740,791
37.488953,2024-05-27T21:24:43.882Z,741,792
37.505607,2024-05-27T21:24:43.882Z,736,805
37.522263,2024-05-27T21:24:43.882Z,737,805
37.538918,2024-05-27T21:24:43.882Z,743,803
37.555572,2024-05-27T21:24:43.882Z,743,801
37.572227,2024-05-27T21:24:43.882Z,742,810
37.588882,2024-05-27T21:24:43.882Z,743,812
37.605536,2024-05-27T21:24:43.882Z,747,799
37.622191,2024-05-27T21:24:43.882Z,745,798
37.638846,2024-05-27T21:24:43.882Z,744,798
37.655501,2024-05-27T21:24:43.882Z,745,792
37.672155,2024-05-27T21:24:43.882Z,736,792
37.68881,2024-05-27T21:24:43.882Z,717,800
37.705465,2024-05-27T21:24:43.882Z,708,780
37.72212,2024-05-27T21:24:43.882Z,720,785
37.738775,2024-05-27T21:24:43.882Z,720,781
37.75543,2024-05-27T21:24:43.882Z,714,781
37.772084,2024-05-27T21:24:43.882Z,718,808
37.78874,2024-05-27T21:24:43.882Z,717,804
37.805395,2024-05-27T21:24:43.882Z,715,800
37.822049,2024-05-27T21:24:43.882Z,715,800
37.838704,2024-05-27T21:24:43.882Z,716,796
37.855359,2024-05-27T21:24:43.882Z,717,797
37.872013,2024-05-27T21:24:43.882Z,718,802
37.888668,2024-05-27T21:24:43.882Z,718,802
37.905323,2024-05-27T21:24:43.882Z,716,777
37.921978,2024-05-27T21:24:43.882Z,714,781
37.938633,2024-05-27T21:24:43.882Z,719,802
37.955288,2024-05-27T21:24:43.882Z,720,800
37.971943,2024-05-27T21:24:43.882Z,724,806
37.988597,2024-05-27T21:24:43.882Z,726,805
38.005252,2024-05-27T21:24:44.882Z,724,781
